wavelength,intensity
624.7379760742188,622
625.0419921875,624
625.3460083007812,640
625.6489868164062,628
625.9530029296875,619
626.2559814453125,627
626.5599975585938,636
626.864013671875,642
627.1669921875,638
627.4710083007812,631
627.7739868164062,633
628.0780029296875,630
628.3820190429688,639
628.6849975585938,641
628.989013671875,629
629.2930297851562,634
629.5960083007812,637
629.9000244140625,633
630.2030029296875,638
630.5070190429688,638
630.8099975585938,639
631.114013671875,636
631.4180297851562,628
631.7210083007812,635
632.0250244140625,633
632.3280029296875,629
632.6320190429688,628
632.9359741210938,632
633.239013671875,635
633.5430297851562,646
633.8460083007812,630
634.1500244140625,640
634.4530029296875,644
634.7570190429688,631
635.0609741210938,643
635.364013671875,627
635.6680297851562,644
635.9710083007812,630
636.2750244140625,623
636.5780029296875,631
636.8820190429688,643
637.1859741210938,632
637.489013671875,645
637.7930297851562,625
638.0960083007812,633
638.4000244140625,627
638.7030029296875,622
639.0070190429688,630
639.3099975585938,636
639.614013671875,634
639.9169921875,637
640.2210083007812,649
640.5239868164062,641
640.8280029296875,640
641.1320190429688,637
641.4349975585938,630
641.739013671875,636
642.0419921875,644
642.3460083007812,628
642.6489868164062,638
642.9530029296875,623
643.2559814453125,640
643.5599975585938,642
643.8629760742188,632
644.1669921875,633
644.469970703125,637
644.7739868164062,638
645.0770263671875,637
645.3809814453125,636
645.6840209960938,640
645.9879760742188,628
646.291015625,635
646.594970703125,632
646.8980102539062,634
647.2020263671875,636
647.5050048828125,626
647.8090209960938,639
648.1119995117188,624
648.416015625,639
648.718994140625,634
649.0230102539062,633
649.3259887695312,645
649.6300048828125,636
649.9329833984375,635
650.2369995117188,631
650.5399780273438,624
650.843017578125,642
651.14697265625,624
651.4500122070312,629
651.7540283203125,623
652.0570068359375,630
652.3610229492188,625
652.6640014648438,630
652.968017578125,632
653.27099609375,631
653.5750122070312,641
653.8779907226562,636
654.1810302734375,633
654.4849853515625,630
654.7880249023438,631
655.0919799804688,630
655.39501953125,634
655.698974609375,626
656.0020141601562,633
656.3060302734375,633
656.6090087890625,629
656.9119873046875,641
657.2160034179688,635
657.5189819335938,630
657.822998046875,640
658.1259765625,630
658.4299926757812,642
658.7329711914062,629
659.0360107421875,623
659.3400268554688,634
659.6430053710938,633
659.947021484375,637
660.25,636
660.552978515625,631
660.8569946289062,629
661.1599731445312,640
661.4639892578125,628
661.7670288085938,632
662.0700073242188,627
662.3740234375,622
662.677001953125,644
662.9810180664062,644
663.2839965820312,636
663.5869750976562,635
663.8909912109375,629
664.1939697265625,640
664.4970092773438,630
664.801025390625,622
665.10400390625,635
665.4080200195312,622
665.7109985351562,630
666.0139770507812,635
666.3179931640625,643
666.6209716796875,621
666.9240112304688,641
667.22802734375,637
667.531005859375,631
667.8350219726562,639
668.1380004882812,632
668.4409790039062,642
668.7449951171875,624
669.0479736328125,633
669.3510131835938,631
669.655029296875,624
669.9580078125,637
670.260986328125,636
670.5650024414062,626
670.8679809570312,627
671.1710205078125,630
671.4749755859375,616
671.7780151367188,640
672.0809936523438,619
672.385009765625,635
672.68798828125,631
672.9910278320312,634
673.2949829101562,628
673.5980224609375,629
673.9010009765625,629
674.2050170898438,625
674.5079956054688,633
674.8109741210938,638
675.114013671875,618
675.4180297851562,632
675.7210083007812,646
676.0239868164062,646
676.3280029296875,635
676.6309814453125,623
676.9340209960938,616
677.2379760742188,637
677.541015625,621
677.843994140625,629
678.14697265625,629
678.4509887695312,628
678.7540283203125,626
679.0570068359375,628
679.3610229492188,620
679.6640014648438,630
679.9669799804688,628
680.27001953125,629
680.573974609375,624
680.8770141601562,634
681.1799926757812,627
681.4829711914062,640
681.7869873046875,632
682.0900268554688,626
682.3930053710938,627
682.6959838867188,639
683,628
683.302978515625,626
683.6060180664062,629
683.9089965820312,621
684.2130126953125,625
684.5159912109375,622
684.8189697265625,631
685.1220092773438,626
685.426025390625,620
685.72900390625,626
686.031982421875,631
686.3350219726562,627
686.6389770507812,635
686.9420166015625,630
687.2449951171875,629
687.5479736328125,625
687.8510131835938,629
688.155029296875,623
688.4580078125,629
688.760986328125,634
689.0640258789062,632
689.3670043945312,620
689.6710205078125,637
689.9739990234375,622
690.2769775390625,625
690.5800170898438,618
690.8829956054688,624
691.18701171875,628
691.489990234375,625
691.7930297851562,628
692.0960083007812,617
692.3989868164062,630
692.7030029296875,630
693.0059814453125,628
693.3090209960938,634
693.6119995117188,634
693.9149780273438,633
694.218017578125,617
694.52197265625,620
694.8250122070312,625
695.1279907226562,631
695.4310302734375,624
695.7340087890625,628
696.0369873046875,626
696.3410034179688,628
696.6439819335938,633
696.947021484375,630
697.25,620
697.552978515625,637
697.8560180664062,622
698.1589965820312,628
698.4630126953125,631
698.7659912109375,622
699.0689697265625,628
699.3720092773438,633
699.6749877929688,630
699.97802734375,635
700.281005859375,627
700.583984375,626
700.8880004882812,628
701.1909790039062,625
701.4940185546875,623
701.7969970703125,629
702.0999755859375,635
702.4030151367188,622
702.7059936523438,630
703.0089721679688,619
703.31298828125,618
703.6160278320312,631
703.9190063476562,631
704.2219848632812,619
704.5250244140625,635
704.8280029296875,627
705.1309814453125,613
705.4340209960938,623
705.7369995117188,627
706.0399780273438,621
706.343017578125,623
706.64599609375,628
706.9500122070312,621
707.2529907226562,623
707.5560302734375,616
707.8590087890625,625
708.1619873046875,642
708.4650268554688,618
708.7680053710938,629
709.0709838867188,626
709.3740234375,616
709.677001953125,631
709.97998046875,643
710.2830200195312,622
710.5859985351562,627
710.8889770507812,618
711.1920166015625,631
711.4949951171875,623
711.7979736328125,641
712.1019897460938,627
712.405029296875,631
712.7080078125,635
713.010986328125,631
713.3140258789062,612
713.6170043945312,627
713.9199829101562,631
714.2230224609375,619
714.5260009765625,631
714.8289794921875,634
715.1320190429688,629
715.4349975585938,627
715.7379760742188,635
716.041015625,629
716.343994140625,633
716.64697265625,626
716.9500122070312,633
717.2529907226562,627
717.5560302734375,622
717.8590087890625,622
718.1619873046875,635
718.4650268554688,612
718.7680053710938,627
719.0709838867188,631
719.3740234375,637
719.677001953125,627
719.97998046875,636
720.2830200195312,623
720.5859985351562,623
720.8889770507812,632
721.1920166015625,627
721.4940185546875,626
721.7969970703125,625
722.0999755859375,623
722.4030151367188,626
722.7059936523438,627
723.0089721679688,633
723.31201171875,630
723.614990234375,639
723.9180297851562,629
724.2210083007812,631
724.5239868164062,628
724.8270263671875,631
725.1300048828125,629
725.4329833984375,638
725.7360229492188,635
726.0390014648438,622
726.3419799804688,639
726.6439819335938,616
726.947021484375,625
727.25,619
727.552978515625,611
727.8560180664062,627
728.1589965820312,638
728.4619750976562,626
728.7650146484375,635
729.0679931640625,631
729.3709716796875,629
729.6740112304688,621
729.9760131835938,627
730.2789916992188,635
730.5819702148438,631
730.885009765625,626
731.18798828125,628
731.4910278320312,633
731.7940063476562,629
732.0969848632812,629
732.4000244140625,623
732.7020263671875,624
733.0050048828125,626
733.3079833984375,632
733.6110229492188,632
